,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
559,CHEMBL29863,CCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,260.33699999999993,2.1334,2.0,3.0,5.638253282024103
560,CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,330.47200000000004,4.238900000000004,0.0,3.0,5.04575266509324
561,CHEMBL29338,CCCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,302.418,3.303700000000001,2.0,3.0,5.769525532638841
562,CHEMBL25735,CCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,274.364,2.5235000000000003,2.0,3.0,5.886023241710154
563,CHEMBL287647,CCC(C)CC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,274.364,2.3794000000000004,2.0,3.0,5.958567835319735
564,CHEMBL282573,CC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,246.30999999999997,1.5992,2.0,3.0,4.795877303012046
565,CHEMBL28669,CC(C)CC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,260.33699999999993,1.9892999999999998,2.0,3.0,5.522864269038877
566,CHEMBL29138,CC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,218.25599999999997,0.9631000000000001,2.0,3.0,3.8696659098054966
567,CHEMBL28668,CCC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O,active,260.33699999999993,1.9892999999999998,2.0,3.0,5.522864269038877
568,CHEMBL29864,CCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,246.30999999999997,1.7432999999999998,2.0,3.0,4.958603366728068
570,CHEMBL29339,CCCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O,active,288.39099999999996,2.9136000000000006,2.0,3.0,5.8238797889439144
588,CHEMBL176118,Brc1ccc2c(c1)CC/C2=C/c1cccnc1,active,286.17199999999997,4.330900000000003,0.0,1.0,5.132526619447114
589,CHEMBL176609,COc1ccc2c(c1)CC/C2=C\c1cccnc1,active,237.302,3.5770000000000017,0.0,2.0,5.365512653518067
590,CHEMBL176101,COc1ccc2c(c1)CC/C2=C/c1cccnc1,active,237.302,3.5770000000000017,0.0,2.0,5.254137007867861
591,CHEMBL362441,COc1ccc2c(c1)CCC/C2=C\c1cccnc1,active,251.32899999999998,3.967100000000003,0.0,2.0,5.94688312507707
592,CHEMBL176098,COc1ccc2c(c1)CCC/C2=C/c1cccnc1,active,251.32899999999998,3.967100000000003,0.0,2.0,5.397929151445704
593,CHEMBL366772,COc1ccc2c(c1)/C(=C/c1cccnc1)CC2,active,237.302,3.5770000000000017,0.0,2.0,5.196536055875679
595,CHEMBL425323,CCOc1ccc2c(c1)CC/C2=C\c1cccnc1,active,251.32899999999998,3.967100000000003,0.0,2.0,5.149960608250699
596,CHEMBL176886,CCOc1ccc2c(c1)CC/C2=C/c1cccnc1,active,251.32899999999998,3.967100000000003,0.0,2.0,5.114633125129237
597,CHEMBL177268,C(=C1\CCc2cc(OCc3ccccc3)ccc21)\c1cccnc1,inactive,313.40000000000003,5.147400000000005,0.0,2.0,4.443696292860827
598,CHEMBL175550,Cc1ccc2c(c1)/C(=C/c1cccnc1)CC2,active,221.303,3.876820000000003,0.0,1.0,5.40559639901499
599,CHEMBL366570,Cc1ccc2c(c1)/C(=C\c1cccnc1)CC2,active,221.303,3.876820000000003,0.0,1.0,5.337232727236657
600,CHEMBL368305,Cc1cccc2c1CC/C2=C\c1cccnc1,active,221.30300000000003,3.876820000000003,0.0,1.0,5.326048800309103
601,CHEMBL176009,Cc1cccc2c1CC/C2=C/c1cccnc1,inactive,221.30300000000003,3.876820000000003,0.0,1.0,4.898593210863809
602,CHEMBL366490,Fc1cccc2c1CC/C2=C\c1cccnc1,active,225.26600000000002,3.707500000000003,0.0,1.0,5.742297431623342
606,CHEMBL175791,COc1cccc2c1/C(=C/c1cccnc1)CC2,active,237.302,3.5770000000000017,0.0,2.0,5.011436584268689
608,CHEMBL175962,C(=C1\CCc2ccccc21)\c1ccncc1,active,207.27599999999998,3.5684000000000022,0.0,1.0,5.173918715340354
609,CHEMBL179149,C(=C1/CCc2ccccc21)\c1ccncc1,inactive,207.27599999999998,3.5684000000000022,0.0,1.0,4.895168184777011
611,CHEMBL424960,Fc1ccc2c(c1)CC/C2=C\c1ccncc1,active,225.26600000000002,3.707500000000003,0.0,1.0,5.809640283734676
613,CHEMBL175554,Clc1ccc2c(c1)CC/C2=C\c1ccncc1,active,241.721,4.2218000000000035,0.0,1.0,5.265192172428042
614,CHEMBL175799,Clc1ccc2c(c1)CC/C2=C/c1ccncc1,active,241.721,4.2218000000000035,0.0,1.0,5.701125100295301
615,CHEMBL366773,Brc1ccc2c(c1)CC/C2=C\c1ccncc1,inactive,286.17199999999997,4.330900000000003,0.0,1.0,4.443696292860827
